CCTV,#genre#
张卫健版西游记,http://ws4.streamhls.huya.com/huyalive/30765679-2550665260-10955023874743336960-2789253862-10057-A-0-1_1200/playlist.m3u8
西游记(86版),https://aldirect.hls.huya.com/huyalive/29141112-2689673336-11552059015043219456-3048991588-10057-A-0-1_1200.m3u8
济公,https://aldirect.hls.huya.com/huyalive/29169025-2686221242-11537232384210501632-2847687560-10057-A-0-1_1200.m3u8
康熙微服私访记,https://aldirect.hls.huya.com/huyalive/29169025-2686221704-11537234368485392384-2789274536-10057-A-0-1_1200.m3u8
铁齿铜牙纪晓岚,http://aldirect.hls.huya.com/huyalive/94525224-2468571348-10602433207502635008-2789253864-10057-A-0-1_1200.m3u8
少年包青天,http://aldirect.hls.huya.com/huyalive/30765679-2534694464-10886429828232249344-2789253856-10057-A-0-1_1200.m3u8
亮剑,http://aldirect.hls.huya.com/huyalive/30765679-2475713500-10633108516765696000-2789274576-10057-A-0-1_1200.m3u8
神探狄仁杰,http://alhls.cdn.zhanqi.tv/zqlive/115384_jC7nR.m3u8
宝莲灯,http://js.hls.huya.com/huyalive/30765679-2525901744-10848665383389364224-2847699200-10057-A-0-1_1200.m3u8
康熙皇朝,https://aldirect.hls.huya.com/huyalive/29141112-2691519968-11559990239090966528-3049003118-10057-A-0-1_1200.m3u8
雍正王朝,https://txdirect.hls.huya.com/huyalive/29359996-2689277426-11550358594541060096-2847699098-10057-A-0-1_1200.m3u8
電影-周星馳01,http://alhls.cdn.zhanqi.tv/zqlive/160122_5swCD.m3u8
電影-周星馳02,http://alhls.cdn.zhanqi.tv/zqlive/93774_g0UdM.m3u8
電影-好萊塢魔幻,http://alhls.cdn.zhanqi.tv/zqlive/102444_ZGmRp.m3u8
電影-好萊塢動作,http://alhls.cdn.zhanqi.tv/zqlive/7032_0s2qn.m3u8
電影-好萊塢喜劇,http://alhls.cdn.zhanqi.tv/zqlive/44509_4oiYY.m3u8
電影-香港喜劇,http://alhls.cdn.zhanqi.tv/zqlive/35349_iXsXw.m3u8
周口影视,http://alhls.cdn.zhanqi.tv/zqlive/80918_cr4oy.m3u8
生活大爆炸,http://ws4.streamhls.huya.com/backsrc/29169025-2686221732-11537234488744476672-2847699168-10057-A-0-1.m3u8

风景直播,#genre#
直播中国,http://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
青岛五四广场,http://video11.qtv.com.cn/aqdafzx/manifest.m3u8
青岛奥帆中心,http://video11.qtv.com.cn/aqdwsgc/manifest.m3u8
青岛电视塔看胶州湾,http://video11.qtv.com.cn/sxt200/manifest.m3u8
青岛电视塔看看台东,http://video11.qtv.com.cn/sxt201/manifest.m3u8
青岛电视塔看浮山湾,http://video11.qtv.com.cn/sxt202/manifest.m3u8
青岛电视塔看太平湾,http://video11.qtv.com.cn/sxt203/manifest.m3u8
青岛市南快速路,http://video11.qtv.com.cn/sxt1/manifest.m3u8
